method,inst,obj_mean,time_mean,obj_std,time_std
ham_2opt_first,20,119866.6,0.0062361388,108969.95053821,0.003432462749332
ham_2opt_first,25,711.8,0.0085472644,17.2104619345327,0.002953815109804
ham_2opt_first,30,99036,0.008536956,0,0.000461446285273
ham_2opt_first,40,101064,0.0179912256,0,0.005853123635465
ham_2opt_first,50,1171,0.026235917,0,0.002798957918595
ham_2opt_first,60,1521.8,0.049155815,15.2052622469986,0.018666097153529
ham_2opt_first,70,98061,0.0725008398,0,0.022161194994673
ham_2opt_first,80,98102,0.080708987,0,0.028099432588996
ham_2opt_first,90,2189,0.090135919,0,0.021694096943097
ham_2opt_first,100,2438,0.113365041,0,0.03650087308852
ham_2opt_first,150,4134,0.2513627742,0,0.057221477051561
ham_2opt_first,200,5102,0.4271212182,0,0.09497825343454
ham_2opt_first,250,6382.8,0.6601330048,12.0498962651138,0.113326475992408
ham_2opt_first,300,7561,0.9036730204,0,0.100224263930789
ham_2opt_first,400,10638,1.654452961,0,0.16089067945781
ham_2opt_first,500,12804,2.5743528628,0,0.191531460496126
ham_2opt_first,600,15069,3.8025433876,0,0.27335396854465
ham_2opt_first,700,16954,5.4443718632,0,0.358393323621145
ham_2opt_first,800,79958,7.5049201422,0,0.598895582305867
ham_2opt_first,900,21146,9.592894614,0,0.768169390025012
ham_2opt_first,1000,24399,12.0216356618,0,0.976556550516336
ham_2opt_first,1500,37797,30.0406701932,0,2.13091358780093
ham_2opt_first,2000,49659,59.0831518234,0,3.61828446178338
ham_2opt_first,2500,35829,71.0612003011667,0,0.398888518611965
ham_2opt_first,3000,23807.4,85.946798569,337.397095423182,4.24335872006816
ham_insert_best,10,59954.4,0.002338861,54555.3576177446,0.000876709090961
ham_insert_best,15,99530,0.0052892544,0,0.005663043950306
ham_insert_best,20,200527,0.0047106808,0,0.002251428525771
ham_insert_best,25,663,0.0121273246,0,0.005250084709419
ham_insert_best,30,99047,0.0115804758,0,0.005367682609949
ham_insert_best,40,101064,0.0178688922,0,0.008407285219304
ham_insert_best,50,101181,0.0299464874,0,0.00955668161185
ham_insert_best,60,1604,0.0495453834,0,0.019598740810465
ham_insert_best,70,201969,0.0647932742,0,0.030191949970649
ham_insert_best,80,198144,0.0677212894,0,0.017193426893422
ham_insert_best,90,2189,0.0879765432,0,0.021708362702906
ham_insert_best,100,2438,0.1232991006,0,0.035018142503813
ham_insert_best,150,4134,0.263558686,0,0.061915102277814
ham_insert_best,200,194929,0.4325234384,0,0.076183323719157
ham_insert_best,250,93636,0.654945988,0,0.094603138029165
ham_insert_best,300,7561,0.9402874932,0,0.084520729247914
ham_insert_best,400,10638,1.682330206,0,0.151451438277712
ham_insert_best,500,12804,2.6634182644,0,0.194609420011671
ham_insert_best,600,15069,4.1080108288,0,0.273041203417364
ham_insert_best,700,16954,5.6677557434,0,0.449342172614534
ham_insert_best,800,79969,7.6201769302,0,0.422608086746702
ham_insert_best,900,21146,9.890807918,0,0.538839880484155
ham_insert_best,1000,24399,12.383355,0,0.721918710193384
ham_insert_best,1500,37797,31.5556073752,0,2.17232144206099
ham_insert_best,2000,49659,60.4147431986,0,3.28366514805108
ham_insert_best,2500,35829,73.916905089,0,0.242682821159661
ham_insert_best,3000,82317.3333333333,73.3832886086667,120148.704481849,15.8628387339498
ham_insert_first,10,99792,0.0019363532,5.47722557505332,0.000646794074253
ham_insert_first,15,59897.2,0.0034680642,54269.4464427269,0.001099098410029
ham_insert_first,20,200527,0.0044273184,0,0.00150312190824
ham_insert_first,25,663,0.0095241146,0,0.00380912936958
ham_insert_first,30,99047,0.0111272892,0,0.004413246862493
ham_insert_first,40,101064,0.0192990578,0,0.006731714617153
ham_insert_first,50,101181,0.0290240354,0,0.010622975130261
ham_insert_first,60,1604,0.0425444816,0,0.009226996942543
ham_insert_first,70,201969,0.054631814,0,0.018234237445322
ham_insert_first,80,198144,0.0767972818,0,0.021049681887049
ham_insert_first,90,2189,0.1082339198,0,0.036714713720782
ham_insert_first,100,2438,0.1099998636,0,0.033281366321488
ham_insert_first,150,4134,0.2486704886,0,0.059468942819731
ham_insert_first,200,194929,0.4335590294,0,0.077122456731451
ham_insert_first,250,93636,0.6316063838,0,0.083245784406078
ham_insert_first,300,7561,0.9279176402,0,0.087742645382201
ham_insert_first,400,10638,1.6849163614,0,0.133361244157428
ham_insert_first,500,12804,2.633462301,0,0.192120960344105
ham_insert_first,600,15069,4.0899410364,0,0.256136893337195
ham_insert_first,700,16954,5.6593730296,0,0.423751654794213
ham_insert_first,800,79969,7.6570192724,0,0.369216372155105
ham_insert_first,900,21146,9.7867677916,0,0.643939522813588
ham_insert_first,1000,24399,12.3356566268,0,0.773646784995568
ham_insert_first,1500,37797,32.1695065144,0,2.68091964999587
ham_insert_first,2000,49659,60.9341172914,0,3.59170440499801
ham_insert_first,2500,35829,73.750091324,0,0.286832634853799
ham_insert_first,3000,34013.4,80.3666754752,23347.6801802663,0.592271400375194
ham_sblock_best,10,137,0.0017082888,0,0.000542845597659
ham_sblock_best,15,300433,0.0033605752,0,0.001053423174757
ham_sblock_best,20,200527,0.004889035,0,0.002253624340036
ham_sblock_best,25,299323,0.0074328948,0,0.00289467988514
ham_sblock_best,30,99047,0.010831914,0,0.003606869716702
ham_sblock_best,40,101064,0.0195375016,0,0.007463808072602
ham_sblock_best,50,101181,0.0270242666,0,0.007321340002518
ham_sblock_best,60,1604,0.0432334512,0,0.012964229306664
ham_sblock_best,70,201969,0.0664429646,0,0.016303600813703
ham_sblock_best,80,198144,0.0721264228,0,0.017360718090898
ham_sblock_best,90,2189,0.0866390798,0,0.019688229371115
ham_sblock_best,100,2438,0.1203503368,0,0.027066690599138
ham_sblock_best,150,4134,0.2548856046,0,0.045535767253126
ham_sblock_best,200,194929,0.4564386246,0,0.097461209157191
ham_sblock_best,250,93636,0.6910023262,0,0.08590854668387
ham_sblock_best,300,7561,0.9602212532,0,0.095324170203307
ham_sblock_best,400,10638,1.7576225002,0,0.147296222889193
ham_sblock_best,500,12804,2.7859725572,0,0.220813131413481
ham_sblock_best,600,15069,4.1635898982,0,0.291820082034286
ham_sblock_best,700,16954,5.9338908846,0,0.445997534321923
ham_sblock_best,800,79969,7.9913837322,0,0.465043722477125
ham_sblock_best,900,21146,10.1598629654,0,0.696240094075358
ham_sblock_best,1000,24399,12.9183066052,0,0.782478906205598
ham_sblock_best,1500,37797,32.5757313166,0,1.81624214106844
ham_sblock_best,2000,49659,61.8923107164,0,3.68507454048695
ham_sblock_best,2500,35829,76.6456344302,0,0.575579601253889
ham_sblock_best,3000,34013.4,84.216852808,23347.6801802663,0.789098071204532
ham_sblock_first,10,137,0.002361865,0,0.001551677215257
ham_sblock_first,15,160277.4,0.0037021296,357392.757951669,0.00113161071895
ham_sblock_first,20,200527,0.0049141552,0,0.002302127702554
ham_sblock_first,25,299323,0.0106649934,0,0.005139655714926
ham_sblock_first,30,99047,0.0092762486,0,0.001416883320057
ham_sblock_first,40,101064,0.0233555112,0,0.009020508530272
ham_sblock_first,50,101181,0.0234366566,0,0.001276410319599
ham_sblock_first,60,1604,0.0399293076,0,0.012142644958521
ham_sblock_first,70,201969,0.0648318884,0,0.019255004368088
ham_sblock_first,80,198144,0.0731228768,0,0.016113364966526
ham_sblock_first,90,2189,0.1004172472,0,0.025525303100628
ham_sblock_first,100,2438,0.1151992618,0,0.033810376555729
ham_sblock_first,150,4134,0.263665787,0,0.056234363451157
ham_sblock_first,200,194929,0.468947872,0,0.08953057039377
ham_sblock_first,250,93636,0.6489331556,0,0.068087831776301
ham_sblock_first,300,7561,0.960209593,0,0.087835699495581
ham_sblock_first,400,10638,1.7375675254,0,0.13849930178381
ham_sblock_first,500,12804,2.8268909116,0,0.255811714115061
ham_sblock_first,600,15069,4.18763398,0,0.314451629804925
ham_sblock_first,700,16954,5.9882044456,0,0.579060564828192
ham_sblock_first,800,79969,7.9703805332,0,0.474639589857276
ham_sblock_first,900,21146,10.1792146196,0,0.661859161923556
ham_sblock_first,1000,24399,12.9166762978,0,0.676429002111315
ham_sblock_first,1500,37797,32.3950353794,0,1.78988491276553
ham_sblock_first,2000,49659,62.3586154376,0,3.61423727930295
ham_sblock_first,2500,35829,76.5590439882,0,0.664991453930997
ham_sblock_first,3000,44454.8,84.4839395834,28594.9515596722,0.992608965310488
ham_xchg_best,10,192,0.0019029714,0,0.000710250922438
ham_xchg_best,15,404,0.0036632348,0,0.001487999935196
ham_xchg_best,20,99437,0.0093095454,0,0.006651156080719
ham_xchg_best,25,299323,0.0076127878,0,0.003718983299809
ham_xchg_best,30,99047,0.0106671774,0,0.004838518707601
ham_xchg_best,40,101064,0.023977048,0,0.010841651039141
ham_xchg_best,50,101181,0.0327918616,0,0.013033858595765
ham_xchg_best,60,1604,0.0449537596,0,0.014173551627216
ham_xchg_best,70,98061,0.079397533,0,0.02867567768896
ham_xchg_best,80,198144,0.073265394,0,0.023396625532649
ham_xchg_best,90,2189,0.0987133948,0,0.025473695086882
ham_xchg_best,100,2438,0.1102780128,0,0.033979793614089
ham_xchg_best,150,4134,0.2725944864,0,0.066816691979212
ham_xchg_best,200,194929,0.460507854,0,0.08187782312977
ham_xchg_best,250,93636,0.6554590798,0,0.066557857668871
ham_xchg_best,300,7561,0.9642152728,0,0.084853132448726
ham_xchg_best,400,10638,1.7431237894,0,0.141910045982384
ham_xchg_best,500,12804,2.7920854292,0,0.213532630753147
ham_xchg_best,600,15069,4.1926031416,0,0.284274883554131
ham_xchg_best,700,16954,5.9170357978,0,0.476273127729525
ham_xchg_best,800,79969,8.0238392444,0,0.60997089810607
ham_xchg_best,900,21146,10.21630534,0,0.588991722756306
